image_id,pigment_network,streaks,regression_structures,dots_and_globules,blue_whitish_veil,vascular_structures
d7_7,absent,absent,absent,absent,absent,arborizing
d7_9,absent,absent,absent,absent,absent,arborizing
d7_16,absent,absent,absent,absent,absent,absent
d7_35,absent,absent,blue areas,irregular,absent,arborizing
d7_42,absent,absent,absent,absent,absent,absent
d7_43,absent,absent,absent,absent,absent,absent
d7_54,absent,absent,absent,absent,absent,absent
d7_56,absent,absent,absent,absent,absent,absent
d7_65,absent,absent,absent,absent,absent,absent
d7_71,typical,absent,blue areas,regular,absent,absent
d7_72,typical,absent,absent,absent,absent,absent
d7_90,absent,absent,combinations,irregular,absent,absent
d7_104,typical,absent,absent,regular,absent,dotted
d7_127,typical,irregular,white areas,regular,absent,within regression
d7_139,absent,irregular,absent,absent,absent,absent
d7_146,typical,absent,absent,regular,absent,absent
d7_147,atypical,absent,absent,regular,absent,absent
d7_168,typical,absent,blue areas,irregular,absent,absent
d7_178,absent,regular,absent,regular,absent,absent
d7_206,absent,irregular,absent,irregular,absent,absent
d7_207,absent,regular,absent,absent,absent,absent
d7_208,absent,regular,absent,absent,absent,absent
d7_216,typical,absent,absent,irregular,absent,absent
d7_220,absent,absent,absent,regular,absent,absent
d7_231,typical,absent,absent,regular,absent,absent
d7_254,typical,absent,absent,regular,absent,absent
d7_264,typical,irregular,blue areas,irregular,absent,absent
d7_279,typical,regular,absent,irregular,absent,absent
d7_280,typical,irregular,absent,irregular,absent,absent
d7_281,typical,absent,absent,regular,absent,absent
d7_285,typical,absent,absent,regular,absent,absent
d7_290,typical,absent,absent,absent,absent,absent
d7_292,atypical,absent,absent,irregular,absent,absent
d7_299,atypical,irregular,combinations,irregular,absent,absent
d7_303,typical,absent,absent,regular,absent,absent
d7_308,typical,regular,absent,irregular,absent,absent
d7_322,typical,absent,combinations,irregular,absent,absent
d7_336,typical,absent,white areas,regular,absent,dotted
d7_338,typical,regular,absent,regular,absent,absent
d7_339,absent,regular,absent,irregular,absent,absent
d7_340,typical,absent,combinations,irregular,absent,absent
d7_348,typical,absent,absent,irregular,absent,absent
d7_349,typical,absent,absent,absent,absent,absent
d7_352,absent,regular,absent,regular,absent,absent
d7_364,typical,absent,absent,regular,absent,absent
d7_382,typical,absent,absent,regular,absent,absent
d7_409,typical,absent,blue areas,regular,absent,absent
d7_443,typical,absent,blue areas,regular,absent,absent
d7_454,typical,absent,absent,regular,absent,absent
d7_465,typical,absent,blue areas,irregular,absent,absent
d7_471,absent,absent,absent,regular,present,absent
d7_483,typical,absent,blue areas,irregular,absent,absent
d7_505,typical,absent,absent,absent,absent,absent
d7_511,absent,absent,absent,regular,absent,absent
d7_528,absent,absent,absent,absent,absent,comma
d7_542,typical,absent,absent,irregular,absent,absent
d7_549,typical,absent,absent,regular,absent,comma
d7_562,typical,absent,absent,irregular,absent,absent
d7_563,typical,absent,absent,absent,absent,absent
d7_576,typical,absent,absent,absent,absent,absent
d7_590,atypical,irregular,absent,irregular,absent,absent
d7_591,atypical,absent,blue areas,irregular,absent,absent
d7_596,atypical,absent,absent,irregular,absent,absent
d7_619,atypical,absent,blue areas,regular,absent,absent
d7_637,atypical,irregular,absent,absent,absent,absent
d7_649,atypical,irregular,combinations,irregular,absent,within regression
d7_656,typical,irregular,absent,irregular,present,absent
d7_657,atypical,irregular,combinations,irregular,present,absent
d7_688,absent,irregular,absent,irregular,present,absent
d7_689,atypical,irregular,white areas,irregular,absent,within regression
d7_702,typical,irregular,absent,irregular,present,absent
d7_705,atypical,irregular,absent,absent,present,absent
d7_708,absent,absent,blue areas,irregular,absent,absent
d7_721,atypical,irregular,absent,absent,present,absent
d7_732,atypical,irregular,combinations,irregular,absent,within regression
d7_744,typical,absent,absent,irregular,present,absent
d7_766,atypical,irregular,combinations,irregular,present,dotted
d7_780,absent,irregular,absent,irregular,present,absent
d7_786,atypical,irregular,combinations,irregular,absent,linear irregular
d7_791,typical,absent,absent,irregular,present,absent
d7_812,absent,absent,absent,irregular,present,dotted
d7_831,absent,regular,absent,absent,absent,absent
d7_846,absent,irregular,white areas,irregular,absent,dotted
d7_862,atypical,irregular,blue areas,irregular,absent,absent
d7_866,absent,regular,absent,regular,absent,absent
d7_867,atypical,irregular,absent,regular,present,absent
d7_872,atypical,irregular,absent,irregular,present,absent
d7_890,atypical,irregular,absent,regular,absent,absent
d7_901,atypical,regular,absent,irregular,present,absent
d7_904,absent,absent,absent,regular,absent,absent
d7_920,absent,absent,absent,irregular,present,dotted
d7_926,atypical,regular,absent,irregular,present,absent
d7_936,absent,absent,absent,regular,absent,dotted
d7_940,absent,absent,absent,regular,absent,hairpin
d7_943,absent,absent,absent,irregular,absent,absent
d7_952,typical,absent,absent,irregular,absent,absent
d7_954,absent,absent,absent,regular,absent,absent
d7_957,atypical,absent,absent,absent,absent,absent
d7_959,absent,absent,absent,absent,absent,absent
d7_968,absent,absent,absent,absent,absent,absent
d7_983,absent,absent,absent,absent,absent,absent
d7_1000,absent,absent,absent,absent,absent,absent
d7_1009,absent,absent,absent,absent,absent,absent
d7_4,absent,absent,blue areas,irregular,present,within regression
d7_11,absent,absent,absent,irregular,present,arborizing
d7_21,absent,absent,absent,irregular,absent,absent
d7_24,absent,absent,absent,absent,absent,arborizing
d7_36,absent,absent,absent,absent,absent,arborizing
d7_39,absent,absent,absent,irregular,absent,arborizing
d7_41,absent,absent,combinations,irregular,absent,absent
d7_53,absent,absent,absent,absent,absent,absent
d7_62,absent,irregular,absent,absent,absent,absent
d7_74,typical,irregular,absent,absent,absent,absent
d7_84,typical,absent,blue areas,absent,absent,absent
d7_87,typical,absent,absent,irregular,absent,absent
d7_91,typical,absent,combinations,regular,absent,absent
d7_97,typical,absent,absent,regular,absent,absent
d7_107,absent,absent,combinations,irregular,present,absent
d7_135,absent,absent,blue areas,irregular,absent,absent
d7_137,absent,regular,absent,irregular,absent,absent
d7_144,typical,absent,absent,irregular,absent,absent
d7_152,absent,absent,absent,regular,absent,absent
d7_162,typical,absent,white areas,regular,absent,absent
d7_172,typical,absent,absent,absent,absent,absent
d7_173,typical,absent,blue areas,regular,absent,absent
d7_179,absent,regular,absent,regular,absent,absent
d7_183,absent,absent,combinations,regular,absent,absent
d7_196,absent,regular,absent,absent,absent,absent
d7_201,absent,regular,absent,irregular,absent,absent
d7_225,typical,absent,absent,regular,absent,absent
d7_228,typical,irregular,absent,regular,absent,absent
d7_244,typical,absent,absent,regular,absent,absent
d7_251,atypical,absent,absent,absent,absent,comma
d7_253,typical,absent,absent,absent,absent,absent
d7_263,atypical,absent,absent,regular,absent,dotted
d7_269,typical,absent,absent,regular,absent,absent
d7_271,typical,absent,absent,irregular,absent,absent
d7_274,typical,absent,absent,regular,absent,absent
d7_276,typical,absent,absent,regular,absent,dotted
d7_283,typical,absent,absent,regular,absent,absent
d7_314,typical,absent,absent,irregular,absent,absent
d7_320,typical,absent,absent,regular,absent,absent
d7_331,typical,absent,absent,regular,absent,absent
d7_343,typical,absent,combinations,irregular,absent,absent
d7_350,typical,absent,absent,regular,absent,absent
d7_366,atypical,irregular,absent,regular,absent,absent
d7_372,typical,absent,absent,regular,absent,absent
d7_386,typical,absent,absent,irregular,absent,absent
d7_391,typical,absent,absent,regular,absent,comma
d7_405,typical,absent,absent,regular,absent,absent
d7_411,typical,absent,absent,regular,absent,absent
d7_414,typical,absent,absent,regular,absent,comma
d7_415,atypical,irregular,absent,regular,absent,absent
d7_421,typical,absent,blue areas,regular,absent,absent
d7_457,typical,absent,absent,regular,absent,absent
