,,,abstain_rate,abstain_rate,acc_on_covered,acc_on_covered,aurc,aurc,aurc_hi,aurc_hi,aurc_lo,aurc_lo,bal_acc,bal_acc,brier,brier,coverage,coverage,ece,ece,ece_hi,ece_hi,ece_lo,ece_lo,latency_median,latency_median,latency_p95,latency_p95,macro_f1,macro_f1,macro_f1_hi,macro_f1_hi,macro_f1_lo,macro_f1_lo,mcc,mcc,mean_conf,mean_conf,mel_recall,mel_recall,mel_recall_hi,mel_recall_hi,mel_recall_lo,mel_recall_lo,nll,nll,overconf_gap,overconf_gap,parse_fail_rate,parse_fail_rate,risk_at_80cov,risk_at_80cov
,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
system,stage,mani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qwen3.5-0.8B-4bit,A,ham_test_manifest,0.0016,0.0032,0.2116,0.1154,0.7465,0.169,0.7412,0.1424,0.6842,0.1439,0.2177,0.0511,0.4694,0.0535,0.9984,0.0032,0.5606,0.0968,0.5768,0.0926,0.5447,0.0988,3.3035,0.1825,4.5256,0.3797,0.1109,0.0456,0.1298,0.0471,0.0919,0.0445,0.1174,0.0644,0.7722,0.0194,0.4358,0.3422,0.4882,0.3534,0.3874,0.3298,1.2014,0.1088,0.5606,0.0968,0.0,0.0,0.7422,0.1382
Qwen3.5-0.8B-4bit,B1,ham_test_manifest,1.0,0.0,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0563,0.097,,
Qwen3.5-0.8B-4bit->Qwen3.5-0.8B-4bit,B2,ham_test_manifest,0.0,,0.1008,,0.9532,,0.9191,,0.8848,,0.1415,,0.5155,,1.0,,0.6515,,0.6634,,0.637,,0.758,,0.817,,0.0266,,0.03,,0.0237,,0.0047,,0.7523,,0.0,,0.0,,0.0,,1.2863,,0.6515,,0.0,,0.8746,
Qwen3.5-0.8B-4bit->Qwen3.5-2B-4bit,B2,ham_test_manifest,0.0,,0.6678,,0.1776,,0.3604,,0.2994,,0.1426,,0.255,,1.0,,0.1822,,0.2045,,0.1603,,1.709,,1.723,,0.1188,,0.1243,,0.1147,,0.0346,,0.85,,0.0135,,0.0286,,0.0,,0.7387,,0.1822,,0.0,,0.3644,
Qwen3.5-0.8B-4bit->gemma-4-E2B-it-4bit,B2,ham_test_manifest,0.0,,0.3252,,0.6968,,0.7264,,0.6695,,0.1858,,0.4061,,1.0,,0.43,,0.4512,,0.4045,,1.378,,1.5013,,0.1217,,0.1414,,0.1048,,0.0948,,0.7547,,0.8423,,0.8879,,0.7957,,1.0488,,0.4295,,0.0,,0.6872,
Qwen3.5-2B-4bit,A,external_subset,0.0,0.0,0.1801,0.2547,0.826,0.2461,0.813,0.2645,0.7839,0.3057,0.1666,0.2356,0.5873,0.1903,1.0,0.0,0.6623,0.265,0.6757,0.2465,0.6498,0.2815,5.933,0.1895,6.4399,0.3308,0.1564,0.2212,0.1705,0.2411,0.1442,0.2039,0.1259,0.178,0.8424,0.0102,0.0333,0.0471,0.0478,0.0676,0.0203,0.0288,1.5558,0.4799,0.6623,0.265,0.0,0.0,0.8087,0.2705
Qwen3.5-2B-4bit,A,ham_test_manifest,0.0001,0.0002,0.6662,0.0267,0.2254,0.0533,0.3111,0.0594,0.2592,0.0547,0.3818,0.0219,0.2533,0.0218,0.9999,0.0002,0.1871,0.0275,0.2077,0.0294,0.1687,0.0272,5.9204,1.8121,9.9091,0.5226,0.3436,0.0273,0.3723,0.028,0.3082,0.0274,0.3423,0.0147,0.853,0.0112,0.1509,0.065,0.1957,0.0742,0.1088,0.0553,0.7326,0.0569,0.1868,0.0276,0.0001,0.0002,0.3321,0.0411
Qwen3.5-2B-4bit,A,ham_val_dev200,0.0,,0.3512,,0.6877,,0.713,,0.5294,,0.3571,,0.4606,,1.0,,0.4857,,0.5538,,0.4178,,3.7295,,4.3042,,0.3339,,0.4026,,0.2563,,0.2501,,0.8369,,0.0333,,0.1072,,0.0,,1.2372,,0.4857,,0.0,,0.6119,
Qwen3.5-2B-4bit,B1,ham_test_manifest,1.0,0.0,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0002,0.0003,,
Qwen3.5-2B-4bit,B1,ham_val_dev200,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
Qwen3.5-2B-4bit->Qwen3.5-0.8B-4bit,B2,ham_test_manifest,0.0,,0.1241,,0.8292,,0.8301,,0.7742,,0.1722,,0.5298,,1.0,,0.6524,,0.6668,,0.6394,,0.887,,1.0847,,0.0759,,0.0981,,0.0498,,0.0636,,0.7765,,0.0,,0.0,,0.0,,1.3436,,0.6524,,0.0,,0.8448,
Qwen3.5-2B-4bit->Qwen3.5-2B-4bit,B2,ham_test_manifest,0.0,,0.6465,,0.2479,,0.3517,,0.2996,,0.2074,,0.2705,,1.0,,0.2078,,0.2272,,0.1865,,2.048,,2.5434,,0.1944,,0.2199,,0.1733,,0.2228,,0.8537,,0.4144,,0.4869,,0.355,,0.7786,,0.2072,,0.0,,0.3743,
Qwen3.5-2B-4bit->gemma-4-E2B-it-4bit,B2,ham_test_manifest,0.0005,,0.1913,,0.7144,,0.7307,,0.669,,0.1759,,0.4927,,0.9995,,0.5899,,0.6087,,0.5739,,1.7975,,2.2614,,0.0954,,0.1176,,0.0713,,0.0442,,0.7812,,0.9234,,0.964,,0.8877,,1.2604,,0.5899,,0.0,,0.7894,
