model,criterion,n,macro_f1
gemma-4-E2B-it-4bit,pigment_network,395,0.23715601053111535
gemma-4-E2B-it-4bit,streaks,395,0.1550876029403637
gemma-4-E2B-it-4bit,dots_globules,395,0.24537452996572492
gemma-4-E2B-it-4bit,blue_white_veil,395,0.5968419788664745
gemma-4-E2B-it-4bit,regression_structures,395,0.4216691068814056
gemma-4-E2B-it-4bit,vascular_structures,395,0.4158020449527943
Qwen3.5-0.8B-4bit,pigment_network,392,0.1809169764560099
Qwen3.5-0.8B-4bit,streaks,329,0.26047920992087986
Qwen3.5-0.8B-4bit,dots_globules,329,0.23754165697899712
Qwen3.5-0.8B-4bit,blue_white_veil,323,0.5312883709508182
Qwen3.5-0.8B-4bit,regression_structures,328,0.41722408026755853
Qwen3.5-0.8B-4bit,vascular_structures,328,0.4808888326692387
Qwen3.5-2B-4bit,pigment_network,336,0.44202474260054275
Qwen3.5-2B-4bit,streaks,343,0.23356401384083045
Qwen3.5-2B-4bit,dots_globules,353,0.1884056283583567
Qwen3.5-2B-4bit,blue_white_veil,338,0.7695978186775733
Qwen3.5-2B-4bit,regression_structures,366,0.3587642589914848
Qwen3.5-2B-4bit,vascular_structures,370,0.5397936439459304
